,Date,Home Team,Visitor Team,Home Team Score,Visitor Team Score,Point Difference,Home Win,Home Loss
250,2021-05-06T00:00:00.000Z,Dallas Mavericks,Brooklyn Nets,113,109,4,1,0
251,2021-01-22T00:00:00.000Z,Charlotte Hornets,Chicago Bulls,110,123,-13,0,1
252,2021-01-21T00:00:00.000Z,Golden State Warriors,New York Knicks,104,119,-15,0,1
253,2021-02-02T00:00:00.000Z,Brooklyn Nets,LA Clippers,124,120,4,1,0
254,2021-01-30T00:00:00.000Z,New Orleans Pelicans,Houston Rockets,112,126,-14,0,1
255,2021-01-09T00:00:00.000Z,Charlotte Hornets,Atlanta Hawks,113,105,8,1,0
256,2021-02-01T00:00:00.000Z,Cleveland Cavaliers,Minnesota Timberwolves,100,98,2,1,0
257,2021-02-10T00:00:00.000Z,Washington Wizards,Toronto Raptors,115,137,-22,0,1
258,2020-12-30T00:00:00.000Z,Brooklyn Nets,Atlanta Hawks,145,141,4,1,0
259,2021-02-07T00:00:00.000Z,New York Knicks,Miami Heat,103,109,-6,0,1
260,2021-01-17T00:00:00.000Z,Denver Nuggets,Utah Jazz,105,109,-4,0,1
261,2021-01-05T00:00:00.000Z,Memphis Grizzlies,Los Angeles Lakers,92,94,-2,0,1
262,2021-01-16T00:00:00.000Z,Brooklyn Nets,Orlando Magic,122,115,7,1,0
263,2021-01-13T00:00:00.000Z,Detroit Pistons,Milwaukee Bucks,101,110,-9,0,1
264,2021-01-29T00:00:00.000Z,New Orleans Pelicans,Milwaukee Bucks,131,126,5,1,0
265,2020-12-29T00:00:00.000Z,Cleveland Cavaliers,New York Knicks,86,95,-9,0,1
266,2021-01-04T00:00:00.000Z,Orlando Magic,Cleveland Cavaliers,103,83,20,1,0
267,2021-01-03T00:00:00.000Z,Detroit Pistons,Boston Celtics,120,122,-2,0,1
268,2021-01-08T00:00:00.000Z,Milwaukee Bucks,Utah Jazz,118,131,-13,0,1
