,Date,Home Team,Visitor Team,Home Team Score,Visitor Team Score
190,2021-04-27T00:00:00.000Z,Golden State Warriors,Dallas Mavericks,103,133
191,2021-04-29T00:00:00.000Z,Houston Rockets,Milwaukee Bucks,143,136
192,2021-05-02T00:00:00.000Z,Boston Celtics,Portland Trail Blazers,119,129
193,2021-05-09T00:00:00.000Z,Cleveland Cavaliers,Dallas Mavericks,97,124
194,2021-05-06T00:00:00.000Z,Detroit Pistons,Memphis Grizzlies,111,97
195,2021-05-03T00:00:00.000Z,Washington Wizards,Indiana Pacers,154,141
196,2021-05-10T00:00:00.000Z,San Antonio Spurs,Milwaukee Bucks,146,125
197,2021-05-11T00:00:00.000Z,Boston Celtics,Miami Heat,121,129
198,2021-05-16T00:00:00.000Z,Toronto Raptors,Indiana Pacers,113,125
199,2021-05-16T00:00:00.000Z,Brooklyn Nets,Cleveland Cavaliers,123,109
200,2021-05-15T00:00:00.000Z,New York Knicks,Charlotte Hornets,118,109
201,2021-05-05T00:00:00.000Z,Houston Rockets,Philadelphia 76ers,115,135
202,2021-04-06T00:00:00.000Z,Indiana Pacers,Chicago Bulls,97,113
203,2021-04-20T00:00:00.000Z,Sacramento Kings,Minnesota Timberwolves,120,134
204,2021-04-01T00:00:00.000Z,Miami Heat,Golden State Warriors,116,109
205,2021-04-14T00:00:00.000Z,Minnesota Timberwolves,Milwaukee Bucks,105,130
206,2021-04-07T00:00:00.000Z,Atlanta Hawks,Memphis Grizzlies,113,131
207,2021-05-15T00:00:00.000Z,Milwaukee Bucks,Miami Heat,122,108
208,2021-05-04T00:00:00.000Z,Miami Heat,Dallas Mavericks,113,127
209,2021-04-02T00:00:00.000Z,Memphis Grizzlies,Minnesota Timberwolves,120,108
210,2021-03-17T00:00:00.000Z,Dallas Mavericks,LA Clippers,105,89
211,2021-04-18T00:00:00.000Z,New York Knicks,New Orleans Pelicans,122,112
212,2021-03-26T00:00:00.000Z,New Orleans Pelicans,Denver Nuggets,108,113
213,2021-03-24T00:00:00.000Z,Orlando Magic,Phoenix Suns,112,111
214,2021-04-08T00:00:00.000Z,Utah Jazz,Portland Trail Blazers,122,103
215,2021-04-26T00:00:00.000Z,Philadelphia 76ers,Oklahoma City Thunder,121,90
216,2021-03-29T00:00:00.000Z,Washington Wizards,Indiana Pacers,132,124
217,2021-03-29T00:00:00.000Z,LA Clippers,Milwaukee Bucks,129,105
218,2021-05-03T00:00:00.000Z,Detroit Pistons,Orlando Magic,112,119
219,2021-04-09T00:00:00.000Z,Boston Celtics,Minnesota Timberwolves,145,136
220,2021-04-27T00:00:00.000Z,Toronto Raptors,Brooklyn Nets,103,116
221,2021-03-20T00:00:00.000Z,LA Clippers,Charlotte Hornets,125,98
222,2021-03-22T00:00:00.000Z,Memphis Grizzlies,Boston Celtics,132,126
223,2021-05-14T00:00:00.000Z,Oklahoma City Thunder,Utah Jazz,93,109
224,2021-03-27T00:00:00.000Z,Minnesota Timberwolves,Houston Rockets,107,129
225,2021-04-03T00:00:00.000Z,Sacramento Kings,Milwaukee Bucks,128,129
226,2021-04-10T00:00:00.000Z,Golden State Warriors,Houston Rockets,125,109
227,2021-03-30T00:00:00.000Z,Washington Wizards,Charlotte Hornets,104,114
228,2021-03-28T00:00:00.000Z,Los Angeles Lakers,Orlando Magic,96,93
229,2021-05-01T00:00:00.000Z,Utah Jazz,Toronto Raptors,106,102
230,2021-05-02T00:00:00.000Z,Charlotte Hornets,Miami Heat,111,121
231,2021-04-11T00:00:00.000Z,Cleveland Cavaliers,New Orleans Pelicans,109,116
232,2021-05-07T00:00:00.000Z,Miami Heat,Minnesota Timberwolves,121,112
233,2021-03-23T00:00:00.000Z,Miami Heat,Phoenix Suns,100,110
234,2021-04-21T00:00:00.000Z,Philadelphia 76ers,Phoenix Suns,113,116
235,2021-04-04T00:00:00.000Z,Atlanta Hawks,Golden State Warriors,117,111
236,2021-03-31T00:00:00.000Z,Indiana Pacers,Miami Heat,87,92
237,2021-04-12T00:00:00.000Z,New Orleans Pelicans,Sacramento Kings,117,110
238,2021-05-13T00:00:00.000Z,Charlotte Hornets,LA Clippers,90,113
239,2021-04-24T00:00:00.000Z,Denver Nuggets,Houston Rockets,129,116
240,2021-04-05T00:00:00.000Z,Minnesota Timberwolves,Sacramento Kings,116,106
241,2021-04-13T00:00:00.000Z,Indiana Pacers,LA Clippers,115,126
242,2021-05-12T00:00:00.000Z,Cleveland Cavaliers,Boston Celtics,102,94
243,2021-04-28T00:00:00.000Z,Boston Celtics,Charlotte Hornets,120,111
244,2021-05-16T00:00:00.000Z,Golden State Warriors,Memphis Grizzlies,113,101
245,2021-04-16T00:00:00.000Z,Toronto Raptors,Orlando Magic,113,102
246,2021-04-17T00:00:00.000Z,Boston Celtics,Golden State Warriors,119,114
247,2021-05-11T00:00:00.000Z,Chicago Bulls,Brooklyn Nets,107,115
248,2021-05-10T00:00:00.000Z,Golden State Warriors,Utah Jazz,119,116
249,2021-05-09T00:00:00.000Z,Sacramento Kings,Oklahoma City Thunder,126,98
250,2021-05-06T00:00:00.000Z,Dallas Mavericks,Brooklyn Nets,113,109
251,2021-01-22T00:00:00.000Z,Charlotte Hornets,Chicago Bulls,110,123
252,2021-01-21T00:00:00.000Z,Golden State Warriors,New York Knicks,104,119
253,2021-02-02T00:00:00.000Z,Brooklyn Nets,LA Clippers,124,120
254,2021-01-30T00:00:00.000Z,New Orleans Pelicans,Houston Rockets,112,126
255,2021-01-09T00:00:00.000Z,Charlotte Hornets,Atlanta Hawks,113,105
256,2021-02-01T00:00:00.000Z,Cleveland Cavaliers,Minnesota Timberwolves,100,98
257,2021-02-10T00:00:00.000Z,Washington Wizards,Toronto Raptors,115,137
258,2020-12-30T00:00:00.000Z,Brooklyn Nets,Atlanta Hawks,145,141
259,2021-02-07T00:00:00.000Z,New York Knicks,Miami Heat,103,109
260,2021-01-17T00:00:00.000Z,Denver Nuggets,Utah Jazz,105,109
261,2021-01-05T00:00:00.000Z,Memphis Grizzlies,Los Angeles Lakers,92,94
262,2021-01-16T00:00:00.000Z,Brooklyn Nets,Orlando Magic,122,115
263,2021-01-13T00:00:00.000Z,Detroit Pistons,Milwaukee Bucks,101,110
264,2021-01-29T00:00:00.000Z,New Orleans Pelicans,Milwaukee Bucks,131,126
265,2020-12-29T00:00:00.000Z,Cleveland Cavaliers,New York Knicks,86,95
266,2021-01-04T00:00:00.000Z,Orlando Magic,Cleveland Cavaliers,103,83
267,2021-01-03T00:00:00.000Z,Detroit Pistons,Boston Celtics,120,122
268,2021-01-08T00:00:00.000Z,Milwaukee Bucks,Utah Jazz,118,131
269,2020-12-31T00:00:00.000Z,Houston Rockets,Sacramento Kings,122,119
270,2021-01-18T00:00:00.000Z,Washington Wizards,Cleveland Cavaliers,120,105
271,2021-01-02T00:00:00.000Z,Houston Rockets,Sacramento Kings,102,94
272,2021-01-01T00:00:00.000Z,Charlotte Hornets,Memphis Grizzlies,93,108
273,2021-02-21T00:00:00.000Z,New Orleans Pelicans,Boston Celtics,120,115
274,2021-02-27T00:00:00.000Z,Philadelphia 76ers,Cleveland Cavaliers,109,112
275,2021-03-04T00:00:00.000Z,Boston Celtics,Toronto Raptors,132,125
276,2021-01-27T00:00:00.000Z,Charlotte Hornets,Indiana Pacers,106,116
277,2021-02-09T00:00:00.000Z,Detroit Pistons,Brooklyn Nets,122,111
278,2021-01-06T00:00:00.000Z,Indiana Pacers,Houston Rockets,114,107
